Logger,Table,loggernet_variable,design_link,research_name
Compass_PTR_UP_313,SapflowA,TIMESTAMP,Timestamp,timestamp
Compass_PTR_UP_313,SapflowA,RECORD,NA,NA
Compass_PTR_UP_313,SapflowA,PB,NA,NA
Compass_PTR_UP_313,SapflowA,Statname,NA,NA
Compass_PTR_UP_313,SapflowA,BattV-Avg,Logger-PTR-UP,voltage
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(1),SF-PTR-UP-01,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(2),SF-PTR-UP-02,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(3),SF-PTR-UP-03,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(4),SF-PTR-UP-04,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(5),SF-PTR-UP-05,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(6),SF-PTR-UP-06,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(7),SF-PTR-UP-07,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(8),SF-PTR-UP-08,sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(9),SF-PTR-UP-01D,sapflow_deep
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(10),SF-PTR-UP-02D,sapflow_deep
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(11),SF-PTR-UP-03D,sapflow_deep
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg(12),SF-PTR-UP-08D,sapflow_deep
Compass_PTR_UP_313,WaterLevel600A,Barometric_Pressure600A,WL-BPress-UP,pressure
Compass_PTR_UP_313,WaterLevel600A,Temperature600A,WL-Temp-UP,temperature
